,Parameter,Value,Genotypes
0,Bread wheat,,
1,Protein,>13.0%,"MACS 6222, NI 5439, MP 3382,  HD2932, Raj4083,  NIAW 1415, HW 5216"
2,"YellowPigment",>4.0 ppm,"VL 907, VL 804, HS 490, DBW 39, PBW 373,NW 2036, COW (W) 1"
3,Iron,>45.0 ppm,"K 8027, HD 2888, MP 3288, NIAW 1415, NI5439, COW (W) 1, HW 2044, HI 1500, HW5216"
4,Zinc,>40.0 ppm,"HW 2044, HI 1500, HW 5216, COW (W) 1"
5,Durum wheat,,
6,Protein,>13.0%,"A-9-30-1, UAS 428"
7,"YellowPigment",>4.0 ppm,"PDW 233, HI 8627, NIDW 295"
8,Iron,>45.0 ppm,"A-9-30-1, HI 8627"
9,Zinc,>40.0 ppm,"A-9-30-1, AKDW 2997-16"
